DEBUG 2024-11-01 00:20:52,224 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\admin\utils.py first seen with mtime 1730319201.6081016
DEBUG 2024-11-01 00:20:52,225 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1730319201.5959651
DEBUG 2024-11-01 00:20:52,225 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\apps\registry.py first seen with mtime 1730319201.105304
DEBUG 2024-11-01 00:20:52,226 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\email\mime\text.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,226 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1730319202.6850307
DEBUG 2024-11-01 00:20:52,227 autoreload File C:\Users\ricar\mediatheque\mediatheque\settings.py first seen with mtime 1730416851.2611222
DEBUG 2024-11-01 00:20:52,227 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\colorama\ansi.py first seen with mtime 1730224469.600128
DEBUG 2024-11-01 00:20:52,228 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\asyncio\mixins.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,228 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\middleware\__init__.py first seen with mtime 1730319205.8050315
DEBUG 2024-11-01 00:20:52,229 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1730319205.873531
DEBUG 2024-11-01 00:20:52,229 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\contextvars.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,230 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\DLLs\_ctypes.pyd first seen with mtime 1728289646.0
DEBUG 2024-11-01 00:20:52,230 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\signals.py first seen with mtime 1730319205.4668176
DEBUG 2024-11-01 00:20:52,231 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\email\contentmanager.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,231 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\sqlite3\__init__.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,232 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\urllib\request.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,232 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\backends\sqlite3\introspection.py first seen with mtime 1730319205.6300154
DEBUG 2024-11-01 00:20:52,233 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\sessions\middleware.py first seen with mtime 1730319204.840315
DEBUG 2024-11-01 00:20:52,237 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1730319205.8745859
